animal,sex,dose,total_HTR,time_to_peak,peak_val,FWHM_length,FWHM_val
psilo_1,Female,Psilocybin,71,5,3.333333333,13,2.166666667
psilo_2,Female,Psilocybin,61,1,2.333333333,28,1.666666667
psilo_3,Female,Psilocybin,60.33333333,5,2.666666667,9,2
psilo_4,Male,Psilocybin,49.66666667,2,2.666666667,7,1.833333333
psilo_5,Male,Psilocybin,74.66666667,6,3,18,1.666666667
psilo_6,Male,Psilocybin,83.66666667,1,2.666666667,9,2.166666667
zero_1,Female,0,6.333333333,11,0.666666667,1,0.666666667
zero_2,Male,0,13.33333333,25,0.666666667,0,0.666666667
zero_3,Male,0,12.66666667,0,1,25,0.833333333
zero_4,Male,0,20,23,1.333333333,17,1.166666667
five_1,Female,5,37.33333333,1,6,2,4.666666667
five_2,Female,5,26.33333333,4,2.666666667,6,1.833333333
five_3,Female,5,136.3333333,3,8.666666667,16,5.333333333
five_4,Male,5,21.33333333,20,1,3,0.666666667
five_5,Male,5,23,1,2,3,1.5
five_6,Male,5,26,3,2.666666667,3,1.666666667
ten_1,Female,10,30,0,4.666666667,2,4.166666667
ten_2,Female,10,60.66666667,2,7.666666667,4,4.666666667
ten_3,Female,10,95.33333333,3,8.666666667,4,5.666666667
ten_4,Male,10,12.66666667,0,1.666666667,1,1.333333333
ten_5,Male,10,24,0,1.666666667,2,1.333333333
ten_6,Male,10,3,3,0.333333333,2,0.333333333
twenty_1,Female,20,59,0,8,3,6.166666667
twenty_2,Female,20,59,1,6,7,4.166666667
twenty_3,Female,20,95.33333333,3,8.666666667,4,5.666666667
twenty_4,Male,20,13,0,0.666666667,2,0.666666667
twenty_5,Male,20,23,1,3.333333333,3,2.166666667
twenty_6,Male,20,30.66666667,6,3.333333333,6,2
forty_1,Female,40,91,0,9.333333333,3,7.333333333
forty_2,Female,40,44.33333333,1,7,3,4.666666667
forty_3,Female,40,41,2,4.666666667,3,3.166666667
forty_4,Male,40,45,1,6.666666667,4,4.666666667
forty_5,Male,40,90.33333333,2,6,9,3.666666667
forty_6,Male,40,27,3,5.666666667,3,3.666666667
